,Cor,Habitantes,Semana,Óbitos,Óbitos por 100 mil
0,Branca,6824668,SE_20 12,51.0,0.7472890988982908
1,Preta,736083,SE_20 12,2.0,0.2717084893958969
2,Amarela,246244,SE_20 12,2.0,0.812202530823086
3,Parda,3433218,SE_20 12,5.0,0.14563596019827463
4,Indígena,12977,SE_20 12,0.0,0.0
5,Branca,6824668,SE_20 13,229.0,3.355474581327619
6,Preta,736083,SE_20 13,17.0,2.309522159865124
7,Amarela,246244,SE_20 13,12.0,4.873215184938516
8,Parda,3433218,SE_20 13,42.0,1.2233420656655067
9,Indígena,12977,SE_20 13,1.0,7.705941280727441
10,Branca,6824668,SE_20 14,591.0,8.659761910762546
11,Preta,736083,SE_20 14,71.0,9.64565137355434
12,Amarela,246244,SE_20 14,28.0,11.370835431523204
13,Parda,3433218,SE_20 14,168.0,4.893368262662027
14,Indígena,12977,SE_20 14,1.0,7.705941280727441
15,Branca,6824668,SE_20 15,1028.0,15.06300379740084
16,Preta,736083,SE_20 15,135.0,18.340323034223044
17,Amarela,246244,SE_20 15,45.0,18.274556943519435
18,Parda,3433218,SE_20 15,339.0,9.874118101443019
19,Indígena,12977,SE_20 15,3.0,23.11782384218232
20,Branca,6824668,SE_20 16,1470.0,21.539509321186028
21,Preta,736083,SE_20 16,190.0,25.812306492610208
22,Amarela,246244,SE_20 16,64.0,25.990480986338753
23,Parda,3433218,SE_20 16,526.0,15.32090301285849
24,Indígena,12977,SE_20 16,3.0,23.11782384218232
25,Branca,6824668,SE_20 17,1971.0,28.88052576330453
26,Preta,736083,SE_20 17,268.0,36.40893757905019
27,Amarela,246244,SE_20 17,92.0,37.36131641786196
28,Parda,3433218,SE_20 17,733.0,21.35023176506706
29,Indígena,12977,SE_20 17,4.0,30.823765122909762
30,Branca,6824668,SE_20 18,2605.0,38.17035495353034
31,Preta,736083,SE_20 18,370.0,50.26607053824093
32,Amarela,246244,SE_20 18,116.0,47.10774678773899
33,Parda,3433218,SE_20 18,1016.0,29.5932271122894
34,Indígena,12977,SE_20 18,4.0,30.823765122909762
35,Branca,6824668,SE_20 19,3220.0,47.18178232259796
36,Preta,736083,SE_20 19,456.0,61.9495355822645
37,Amarela,246244,SE_20 19,146.0,59.29078475008528
38,Parda,3433218,SE_20 19,1317.0,38.36051191622553
39,Indígena,12977,SE_20 19,6.0,46.23564768436464
40,Branca,6824668,SE_20 20,3905.0,57.21890061172206
41,Preta,736083,SE_20 20,576.0,78.25204494601832
42,Amarela,246244,SE_20 20,164.0,66.60060752749305
43,Parda,3433218,SE_20 20,1615.0,47.040415144042704
44,Indígena,12977,SE_20 20,7.0,53.94158896509209
45,Branca,6824668,SE_20 21,4573.0,67.00692253454673
46,Preta,736083,SE_20 21,661.0,89.79965574534394
47,Amarela,246244,SE_20 21,183.0,74.31653157031238
48,Parda,3433218,SE_20 21,1940.0,56.50675255693055
49,Indígena,12977,SE_20 21,8.0,61.647530245819524
50,Branca,6824668,SE_20 22,5260.0,77.0733462785296
51,Preta,736083,SE_20 22,768.0,104.33605992802443
52,Amarela,246244,SE_20 22,202.0,82.03245561313169
53,Parda,3433218,SE_20 22,2210.0,64.37109440763739
54,Indígena,12977,SE_20 22,8.0,61.647530245819524
55,Branca,6824668,SE_20 23,5914.0,86.65623001734296
56,Preta,736083,SE_20 23,885.0,120.2310065576844
57,Amarela,246244,SE_20 23,224.0,90.96668345218563
58,Parda,3433218,SE_20 23,2472.0,72.00241872202697
59,Indígena,12977,SE_20 23,9.0,69.35347152654697
60,Branca,6824668,SE_20 24,6572.0,96.29772466587386
61,Preta,736083,SE_20 24,997.0,135.44668196385462
62,Amarela,246244,SE_20 24,248.0,100.71311382206267
63,Parda,3433218,SE_20 24,2742.0,79.8667605727338
64,Indígena,12977,SE_20 24,10.0,77.05941280727441
65,Branca,6824668,SE_20 25,7127.0,104.42998838917879
66,Preta,736083,SE_20 25,1093.0,148.48868945485768
67,Amarela,246244,SE_20 25,263.0,106.80463280323582
68,Parda,3433218,SE_20 25,2951.0,85.95434370902169
69,Indígena,12977,SE_20 25,11.0,84.76535408800184
70,Branca,6824668,SE_20 26,7613.0,111.55121391985661
71,Preta,736083,SE_20 26,1170.0,158.9494662965997
72,Amarela,246244,SE_20 26,279.0,113.30225304982051
73,Parda,3433218,SE_20 26,3126.0,91.05160231596129
74,Indígena,12977,SE_20 26,11.0,84.76535408800184
75,Branca,6824668,SE_20 27,8038.0,117.77862307734237
76,Preta,736083,SE_20 27,1245.0,169.13853464894584
77,Amarela,246244,SE_20 27,300.0,121.8303796234629
78,Parda,3433218,SE_20 27,3282.0,95.59544427414747
79,Indígena,12977,SE_20 27,11.0,84.76535408800184
80,Branca,6824668,SE_20 28,8477.0,124.21117041883942
81,Preta,736083,SE_20 28,1304.0,177.1539350861248
82,Amarela,246244,SE_20 28,311.0,126.29749354298988
83,Parda,3433218,SE_20 28,3432.0,99.9645230800957
84,Indígena,12977,SE_20 28,11.0,84.76535408800184
85,Branca,6824668,SE_20 29,8918.0,130.67302321519523
86,Preta,736083,SE_20 29,1373.0,186.52787797028324
87,Amarela,246244,SE_20 29,330.0,134.0134175858092
88,Parda,3433218,SE_20 29,3574.0,104.1005843497267
89,Indígena,12977,SE_20 29,12.0,92.47129536872929
90,Branca,6824668,SE_20 30,9325.0,136.63668327895218
91,Preta,736083,SE_20 30,1435.0,194.95084114155605
92,Amarela,246244,SE_20 30,335.0,136.04392391286692
93,Parda,3433218,SE_20 30,3722.0,108.41140877159563
94,Indígena,12977,SE_20 30,12.0,92.47129536872929
95,Branca,6824668,SE_20 31,9679.0,141.8237487889521
96,Preta,736083,SE_20 31,1477.0,200.65671941886987
97,Amarela,246244,SE_20 31,348.0,141.32324036321697
98,Parda,3433218,SE_20 31,3849.0,112.1105621606318
99,Indígena,12977,SE_20 31,12.0,92.47129536872929
100,Branca,6824668,SE_20 32,10057.0,147.36247975725706
101,Preta,736083,SE_20 32,1518.0,206.22674345148576
102,Amarela,246244,SE_20 32,366.0,148.63306314062476
103,Parda,3433218,SE_20 32,3991.0,116.2466234302628
104,Indígena,12977,SE_20 32,12.0,92.47129536872929
105,Branca,6824668,SE_20 33,10387.0,152.19787980895188
106,Preta,736083,SE_20 33,1569.0,213.15530993108115
107,Amarela,246244,SE_20 33,377.0,153.1001770601517
108,Parda,3433218,SE_20 33,4120.0,120.00403120337829
109,Indígena,12977,SE_20 33,12.0,92.47129536872929
110,Branca,6824668,SE_20 34,10669.0,156.32994894403654
111,Preta,736083,SE_20 34,1612.0,218.99704245309292
112,Amarela,246244,SE_20 34,388.0,157.5672909796787
113,Parda,3433218,SE_20 34,4224.0,123.0332591755024
114,Indígena,12977,SE_20 34,12.0,92.47129536872929
115,Branca,6824668,SE_20 35,10969.0,160.72576717285003
116,Preta,736083,SE_20 35,1639.0,222.66510705993753
117,Amarela,246244,SE_20 35,399.0,162.03440489920567
118,Parda,3433218,SE_20 35,4312.0,125.59645207499203
119,Indígena,12977,SE_20 35,12.0,92.47129536872929
120,Branca,6824668,SE_20 36,11207.0,164.21311630104205
121,Preta,736083,SE_20 36,1674.0,227.42000562436573
122,Amarela,246244,SE_20 36,410.0,166.50151881873265
123,Parda,3433218,SE_20 36,4392.0,127.92662743816443
124,Indígena,12977,SE_20 36,12.0,92.47129536872929
125,Branca,6824668,SE_20 37,11446.0,167.71511815666344
126,Preta,736083,SE_20 37,1705.0,231.63148721000212
127,Amarela,246244,SE_20 37,421.0,170.9686327382596
128,Parda,3433218,SE_20 37,4477.0,130.4024387615351
129,Indígena,12977,SE_20 37,13.0,100.17723664945673
130,Branca,6824668,SE_20 38,11657.0,170.80684364426224
131,Preta,736083,SE_20 38,1739.0,236.25053152973237
132,Amarela,246244,SE_20 38,427.0,173.40524033072887
133,Parda,3433218,SE_20 38,4542.0,132.29570624411267
134,Indígena,12977,SE_20 38,13.0,100.17723664945673
135,Branca,6824668,SE_20 39,11821.0,173.2098909426803
136,Preta,736083,SE_20 39,1766.0,239.91859613657698
137,Amarela,246244,SE_20 39,432.0,175.43574665778658
138,Parda,3433218,SE_20 39,4595.0,133.8394474222144
139,Indígena,12977,SE_20 39,14.0,107.88317793018417
140,Branca,6824668,SE_20 40,11997.0,175.78877097025085
141,Preta,736083,SE_20 40,1789.0,243.0432437646298
142,Amarela,246244,SE_20 40,437.0,177.4662529848443
143,Parda,3433218,SE_20 40,4649.0,135.41231579235574
144,Indígena,12977,SE_20 40,14.0,107.88317793018417
145,Branca,6824668,SE_20 41,12135.0,177.81084735550505
146,Preta,736083,SE_20 41,1808.0,245.62447441389082
147,Amarela,246244,SE_20 41,441.0,179.09065804649046
148,Parda,3433218,SE_20 41,4705.0,137.04343854657643
149,Indígena,12977,SE_20 41,14.0,107.88317793018417
150,Branca,6824668,SE_20 42,12241.0,179.36403646301915
151,Preta,736083,SE_20 42,1828.0,248.3415593078498
152,Amarela,246244,SE_20 42,447.0,181.52726563895973
153,Parda,3433218,SE_20 42,4752.0,138.4124165724402
154,Indígena,12977,SE_20 42,14.0,107.88317793018417
155,Branca,6824668,SE_20 43,12333.0,180.71208738652194
156,Preta,736083,SE_20 43,1846.0,250.78693571241286
157,Amarela,246244,SE_20 43,451.0,183.1516707006059
158,Parda,3433218,SE_20 43,4783.0,139.3153595256695
159,Indígena,12977,SE_20 43,14.0,107.88317793018417
160,Branca,6824668,SE_20 44,12438.0,182.25062376660668
161,Preta,736083,SE_20 44,1855.0,252.0096239146944
162,Amarela,246244,SE_20 44,457.0,185.58827829307515
163,Parda,3433218,SE_20 44,4820.0,140.39306563113672
164,Indígena,12977,SE_20 44,14.0,107.88317793018417
165,Branca,6824668,SE_20 45,12543.0,183.7891601466914
166,Preta,736083,SE_20 45,1869.0,253.91158334046568
167,Amarela,246244,SE_20 45,459.0,186.40048082389825
168,Parda,3433218,SE_20 45,4856.0,141.44164454456433
169,Indígena,12977,SE_20 45,15.0,115.58911921091162
170,Branca,6824668,SE_20 46,12680.0,185.79658380451622
171,Preta,736083,SE_20 46,1885.0,256.08525125563284
172,Amarela,246244,SE_20 46,465.0,188.8370884163675
173,Parda,3433218,SE_20 46,4898.0,142.66498661022982
174,Indígena,12977,SE_20 46,15.0,115.58911921091162
175,Branca,6824668,SE_20 47,12839.0,188.12636746578735
176,Preta,736083,SE_20 47,1901.0,258.2589191708
177,Amarela,246244,SE_20 47,475.0,192.89810107048294
178,Parda,3433218,SE_20 47,4946.0,144.06309182813325
179,Indígena,12977,SE_20 47,15.0,115.58911921091162
180,Branca,6824668,SE_20 48,13031.0,190.93969113222798
181,Preta,736083,SE_20 48,1931.0,262.3345465117385
182,Amarela,246244,SE_20 48,484.0,196.55301245918682
183,Parda,3433218,SE_20 48,4997.0,145.54857862215565
184,Indígena,12977,SE_20 48,15.0,115.58911921091162
185,Branca,6824668,SE_20 49,13259.0,194.2805129861262
186,Preta,736083,SE_20 49,1958.0,266.0026111185831
187,Amarela,246244,SE_20 49,492.0,199.80182258247916
188,Parda,3433218,SE_20 49,5073.0,147.76224521716944
189,Indígena,12977,SE_20 49,15.0,115.58911921091162
190,Branca,6824668,SE_20 50,13521.0,198.11952757262333
191,Preta,736083,SE_20 50,1998.0,271.43678090650104
192,Amarela,246244,SE_20 50,503.0,204.26893650200614
193,Parda,3433218,SE_20 50,5139.0,149.68463989178665
194,Indígena,12977,SE_20 50,16.0,123.29506049163905
195,Branca,6824668,SE_20 51,13822.0,202.52999852886617
196,Preta,736083,SE_20 51,2037.0,276.735096449721
197,Amarela,246244,SE_20 51,514.0,208.73605042153312
198,Parda,3433218,SE_20 51,5223.0,152.13132402311766
199,Indígena,12977,SE_20 51,16.0,123.29506049163905
200,Branca,6824668,SE_20 52,14106.0,206.6913731188096
201,Preta,736083,SE_20 52,2081.0,282.7126832164308
202,Amarela,246244,SE_20 52,529.0,214.82756940270625
203,Parda,3433218,SE_20 52,5303.0,154.46149938629006
204,Indígena,12977,SE_20 52,16.0,123.29506049163905
205,Branca,6824668,SE_20 53,14297.0,209.49004405782082
206,Preta,736083,SE_20 53,2108.0,286.3807478232754
207,Amarela,246244,SE_20 53,544.0,220.9190883838794
208,Parda,3433218,SE_20 53,5367.0,156.325639676828
209,Indígena,12977,SE_20 53,16.0,123.29506049163905
